회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보
쿠팡(주),Server Management Engineer (Corp Systems Engineering),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49304367&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강남구,경력10년↑,학력무관,정규직,~ 11/29(금),"Python, AWS, 기술지원, IT컨설팅, 인프라 외                    등록일 24/10/30",마감임박
쿠팡(주),[쿠팡] 데이터 분석 PM (Taxonomy),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394068&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 송파구,경력3년↑,대졸↑,정규직,채용시,"Python, Java, 데이터분석가, 데이터엔지니어, 데이터시각화 외                    수정일 24/11/14",재택근무
쿠팡(주),[쿠팡] 카탈로그 개선 담당자 (카탈로그 운영팀),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427469&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 송파구,경력3년↑,대졸↑,정규직,채용시,"Python, SQL, 사무직, 사무보조, 사무행정 외                    등록일 24/11/19",마케팅·홍보·조사 스크랩 급상승
쿠팡(주),[쿠팡] Business Analyst (비즈니스 데이터 분석) 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49434023&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 송파구,경력 5~18년,대졸↑,정규직,~ 12/20(금),"Python, 데이터분석가, 빅데이터, 통계/분석, 경영기획 외                    등록일 24/11/20",재택근무
에드워드코리아(주),Software Engineer  채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49351253&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,충남 아산시,신입·경력,초대졸↑,정규직,~ 12/06(금),"Python, C++, C#, 기계 등록일 24/11/06",평균연봉 상위 10%
(주)네오플,[네오플] 프로그래밍/기술지원 직군 모집 (근무지: 제주본사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386320&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,제주 제주시,신입·경력,학력무관,정규직,~ 12/12(목),"Python, C++, Linux, 게임개발, 백엔드/서버개발 외                    수정일 24/11/26",평균연봉 상위 10%
서울대학교병원,서울대학교병원 자연어 처리 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49292903&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 종로구,경력무관,대졸↑,계약직,상시채용,"Python, 딥러닝, 머신러닝, AWS, 데이터분석가 외                    등록일 24/10/29",인기있는
(주)사노피-아벤티스코리아,[Sanofi/사노피] Insights & Analytics - Trainee 인턴,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467204&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 서초구,신입,고졸↑,인턴직,~ 12/10(화),"Python, 데이터분석가, 제약/바이오, 헬스케어, R 외                    등록일 24/11/25",연구·R&D 스크랩 급상승
세리정보기술(주),영업/금융IT 개발 부문 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395296&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 영등포구,경력,대졸↑,정규직,~ 11/30(토),"Python, Java, 솔루션, 데이터분석가, 데이터엔지니어 외                    수정일 24/11/13",인기있는
에스케이쉴더스(주),[사이버보안AI랩스] Data Scientist 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474128&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 성남시 분당구,경력7년↑,학력무관,정규직,~ 12/25(수),"Python, Java, 딥러닝, 머신러닝, 빅데이터 외                    수정일 24/11/27",연봉상승률 10% 이상
(주)디엔에이링크,생물정보분석(Bioinformatics) 직원 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443515&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강서구,신입·경력,대졸↑,정규직,~ 12/23(월),"Python, Linux, 머신러닝, 알고리즘, 데이터분석가 외                    수정일 24/11/24",취업축하금
씨에스쉐어링(주),[마곡 본사] CX매니저 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49452866&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강서구,경력,대졸↑,정규직,~ 12/21(토),"Python, 빅데이터, SaaS, Excel, OA 외                    수정일 24/11/22",급성장중
(주)더존비즈온,[AI 개발] 더존비즈온 AI 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467353&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,강원 춘천시,경력1년↑,학력무관,정규직,~ 12/09(월),"Python, AWS, 웹개발, 기술지원, 데이터분석가 외                    등록일 24/11/25",IT개발·데이터 조회 급상승
자이에스앤디(주),[GS계열사] 자이S&D(주) 정보보안 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49109269&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 중구,경력무관,초대졸↑,정규직,채용시,"Python, Linux, 솔루션, 정보보안, 네트워크 외                    수정일 24/09/30",IT개발·데이터 스크랩 급상승
삼양식품(주),삼양식품 - Healthcare BU OMICS분석팀 Bioinformatics담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49148812&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 성동구,경력2년↑,대졸↑,정규직,~ 12/06(금),"Python, 딥러닝, 머신러닝, MySQL, R&D 외                    수정일 24/11/06",IT개발·데이터 지원 급상승
(주)커넥트웨이브,[커넥트웨이브] 다나와 각 부문별 수시채용 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49117010&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 양천구,경력무관,학력무관,정규직,상시채용,"Python, Java, 솔루션, AWS, 웹개발 외                    수정일 24/11/25",급성장중
한국소니전자(주),한국소니전자(주) 설비 소프트웨어 개발 인턴사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411496&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경남 창원시,신입,대졸↑,인턴직,~ 12/01(일),"Python, C++, 펌웨어, S/W, Windows 외                    수정일 24/11/15",연봉상승률 10% 이상
(주)숲,[SOOP] 인터랙션 UI/UX 디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49443616&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 성남시 분당구,경력3년↑,학력무관,정규직,~ 12/08(일),"Python, 퍼블리셔, 프론트엔드, 웹표준·웹접근성, S/W 외                    등록일 24/11/21",연봉상승률 10% 이상
롯데이노베이트(주),[AI CRM팀] AI서비스 기획 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390536&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울전체,경력 3~7년,대졸↑,정규직,오늘마감,"Python, Java, 딥러닝, Linux, 머신러닝 외                    수정일 24/11/13",취업축하금
슈어소프트테크(주),[슈어소프트테크] 2024년 하반기 경력 채용 / 전문연구요원 우대,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49324621&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 성남시 수정구,경력3년↑,대졸↑,정규직,~ 12/04(수),"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/11/19",스타트업
(주)한진,(주)한진 DATA팀 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49390413&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 중구,경력4년↑,대졸↑,정규직,~ 12/01(일),"Python, Linux, 알고리즘, 기술지원, 데이터분석가 외                    등록일 24/11/13",휴가비 지원
딜로이트컨설팅(유),[딜로이트 컨설팅] 24년 하반기 각 부문별 컨설턴트 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49262319&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 영등포구,신입·경력,대졸↑,정규직,~ 11/29(금),"Python, 딥러닝, 머신러닝, AWS, IT컨설팅 외                    등록일 24/10/24",평균연봉 상위 10%
(주)솔트룩스,인공지능(AI) 솔트룩스 - NLP Research Engineer 신입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49315298&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 송파구,신입,대졸↑,정규직,채용시,"Python, 딥러닝, NLP(자연어처리), NLU(자연어이해), AI(인공지능) 외                    수정일 24/11/05",인기있는
(주)컬리,[컬리] 평택 QC 데이터 관리 담당자(스탭) (주간),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49397113&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 평택시,경력무관,학력무관,정규직,~ 12/31(화),"Python, 데이터분석가, 데이터엔지니어, 데이터라벨링, 데이터마이닝 외                    수정일 24/11/14","2,000억 이상 투자유치"
(주)차이커뮤니케이션,"부문별 경력직 모집(퍼포먼스 마케팅,광고솔루션 백엔드 개발자)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49120006&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강남구,경력 2~6년,학력무관,정규직,상시채용,"Python, Java, Linux, 솔루션, 백엔드/서버개발 외                    수정일 24/11/18",
제이씨현시스템㈜,제이씨현시스템(주) AI연구소 AI솔루션 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49308082&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 용산구,경력무관,대졸↑,정규직,~ 12/30(월),"Python, 딥러닝, 솔루션, 머신러닝, 백엔드/서버개발 외                    수정일 24/11/18",IT개발·데이터 스크랩 급상승
(주)에이스웍스코리아,기술지원 엔지니어 (대구),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49319895&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,대구전체,신입·경력,초대졸↑,정규직,~ 11/30(토),"Python, C++, 솔루션, 기술지원, 임베디드 외                    등록일 24/11/01",취업축하금
(주)휴비스,[(주) 휴비스] 기술연구소 전부문 신입 및 경력자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328686&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,대전 유성구,경력 3~20년,대졸↑,정규직,~ 11/30(토),"Python, C++, 딥러닝, 솔루션, 웹개발 외                    수정일 24/11/19",연봉상승률 10% 이상
(주)로보티즈,[로봇 매니퓰레이터(다관절로봇)] 설계/제어/SW 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49373632&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강서구,경력무관,대졸↑,정규직·전문연구요원,상시채용,"Python, Linux, S/W, 로봇엔지니어, 로봇설계 외                    등록일 24/11/11",연봉상승률 10% 이상
(주)엔이에스,엔이에스 웹 개발자 인재 채용(주5일 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455637&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,충북 청주시 청원구,경력무관,학력무관,정규직,~ 12/22(일),"Python, 솔루션, 웹개발, 백엔드/서버개발, 유지보수 외                    수정일 24/11/22",급성장중
(주)액토즈소프트,[기술지원본부] 인프라팀 시스템 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49476147&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 중구,경력 3~10년,학력무관,정규직,상시채용,"Python, Linux, AWS, 클라우드, ISMS 외                    등록일 24/11/26",평균연봉 상위 10%
한국지멘스일렉트로닉디자인오토메이션(유),Associate Application Engineer - HAV 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49153612&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 성남시 분당구,신입,대졸↑,정규직,채용시,"Python, Linux, 기술지원, S/W, 반도체 외                    수정일 24/11/04",평균연봉 상위 10%
한국지멘스일렉트로닉디자인오토메이션(유),Associate Application Engineer - EBS 신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49153551&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 성남시 분당구,신입,대졸↑,정규직,채용시,"Python, 기술지원, S/W, 반도체, 스크립트 외                    수정일 24/11/04",평균연봉 상위 10%
(주)이스트게임즈,DevOps 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49340860&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 서초구,경력무관,학력무관,정규직,~ 01/04(토),"Python, Linux, AWS, 기술지원, SE(시스템엔지니어) 외                    수정일 24/11/12",연봉상승률 10% 이상
(주)오제플러스,전산실 - 업무 자동화 팀 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49367588&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 영등포구,경력무관,학력무관,정규직,~ 01/07(화),"Python, 데이터분석가, 유지보수, 전산회계, 전산총무 외                    등록일 24/11/08",
(주)트리플하이엠,[연구소] 솔루션 개발 및 유지보수 담당 인력 채용 (경력직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465068&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 금천구,경력1년↑,대졸↑,정규직,~ 12/25(수),"Python, 솔루션, 웹개발, 백엔드/서버개발, 유지보수 외                    수정일 24/11/25",자유로운 연차
(주)아이티이지,ITEASY 시스템 개발팀 신입&경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49200372&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 서초구,경력무관,대졸↑,정규직,~ 12/14(토),"Python, Java, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/10/15",인기있는
(주)에스더블유엠,[SWM] 자율주행 / AI 부문별 SW 개발 [신입/경력]모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49249697&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 안양시 동안구,경력무관,초대졸↑,정규직,상시채용,"Python, C++, 딥러닝, 알고리즘, 컴퓨터비전 외                    수정일 24/10/24",성과급/상여금
(주)클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49299586&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,서울 강남구,경력무관,학력무관,정규직,~ 11/29(금),"Python, Linux, 솔루션, AWS, 데이터분석가 외                    수정일 24/11/21",평균연봉 상위 10%
(주)트윔,[면접비 지급] AI기반 머신비전 연구개발자(전문연구요원 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49313108&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7258c894-abe0-413e-8dee-34292e278b49,경기 화성시,신입·경력,대졸↑,정규직,~ 11/30(토),"Python, C++, Java, 딥러닝, Linux 외                    등록일 24/11/01",인기있는
(주)지오멕스소프트,(주)지오멕스소프트 소프트웨어 개발자 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49471878&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,강원 춘천시,신입·경력,대졸↑,정규직,~ 01/25(토),"Python, Java, 솔루션, 웹개발, S/W 외                    등록일 24/11/26",인기있는
(주)트위니,[로봇개발본부] 이동로봇 관제 서버(ACS) S/W개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49461726&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,대전 유성구,경력무관,초대졸↑,정규직,채용시,"Python, Java, 딥러닝, Linux, 솔루션 외                    등록일 24/11/25",시리즈B 투자유치
오직(주),웹 개발자 채용 (7년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49449630&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 금천구,경력7년↑,초대졸↑,정규직,~ 12/21(토),"Python, Java, 솔루션, AWS, 웹개발 외                    수정일 24/11/22",취업축하금
(주)에이아이매틱스,연구개발(알고리즘개발 /소프트웨어개발) 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49227754&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경기 성남시 분당구,신입·경력,초대졸↑,정규직,~ 12/10(화),"Python, C++, 딥러닝, 머신러닝, AWS 외                    수정일 24/11/20","평균연봉 6,000 이상"
씨제이포디플렉스(주),[CJ그룹 계열사] CJ 4DPLEX 콘텐츠사업팀 데이터 분석 및 콘텐츠 실적 관리 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410881&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 용산구,경력,학력무관,정규직,~ 12/05(목),"Python, 데이터시각화, 손익관리, PowerPoint, 영화제작 외                    수정일 24/11/22",미디어·문화·스포츠 지원 급상승
에이엠스퀘어(주),AI Engineer(Field Engineer) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433950&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경북 포항시 남구,신입·경력,고졸↑,계약직,~ 12/20(금),"Python, 딥러닝, 솔루션, 머신러닝, 웹개발 외                    수정일 24/11/21",취업축하금
(주)핫셀러,[핫셀러] 개발 직군 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49237380&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 동대문구,신입·경력,학력무관,정규직,채용시,"Python, 솔루션, AWS, 웹개발, 게임개발 외                    수정일 24/10/31",기획·전략 지원 급상승
(주)사람인에이치에스,[서울/정규직/고성과급] 백엔드 개발자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49388836&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 동작구,경력2년↑,학력무관,정규직,채용시,"Python, C++, Java, 딥러닝, Linux 외                    수정일 24/11/27",인기있는
(주)파워이십일,[파워이십일] 신입/경력직(소프트웨어팀) 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464650&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,대전 유성구,신입·경력,대졸↑,정규직,~ 12/02(월),"Python, C++, Java, S/W, C# 외                    등록일 24/11/25",IT개발·데이터 스크랩 급상승
(주)피플앤드테크놀러지,[피플앤드테크놀러지] AI연구소 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265197&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 강남구,신입·경력,학력무관,정규직,~ 12/23(월),"Python, C++, 딥러닝, 솔루션, 데이터시각화 외                    수정일 24/11/14",시리즈A 투자유치
티맵모빌리티(주),"[티맵모빌리티] 개발자 채용 (CE,BE,DevOps,Search,DA,개발PM)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49381823&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 중구,경력2년↑,초대졸↑,정규직,채용시,"Python, C++, Java, AWS, 알고리즘 외                    수정일 24/11/14","2,000억 이상 투자유치"
아남전자(주),아남전자(주) 시스템 및 전산업무 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408470&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 구로구,신입·경력,초대졸↑,정규직,~ 12/06(금),"Python, C++, Linux, SE(시스템엔지니어), RPA 외                    등록일 24/11/15",총무·법무·사무 스크랩 급상승
(주)한컴인스페이스,소프트웨어 개발자 (백엔드) 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417381&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,대전 유성구,신입,대졸↑,정규직,~ 12/18(수),"Python, Java, 딥러닝, 솔루션, 웹개발 외                    수정일 24/11/18",IT개발·데이터 지원 급상승
(주)여기어때컴퍼니,RPA Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49431921&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 강남구,경력 3~10년,학력무관,정규직,~ 12/19(목),"Python, 솔루션, AWS, RPA, 유지보수 외                    수정일 24/11/19",IT개발·데이터 지원 급상승
(주)디케이테크인,[카카오자회사] DBA 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467657&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경기 성남시 분당구,경력 1~16년,학력무관,정규직,~ 12/25(수),"Python, 데이터엔지니어, DBA, DBMS, RDBMS 외                    등록일 24/11/25",연봉상승률 10% 이상
알테어엔지니어링(주),Software Developer (소프트웨어 개발자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49473221&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경기전체,경력 3~15년,대졸↑,정규직,~ 12/29(일),"Python, C++, Java, 웹개발, QA/테스터 외                    등록일 24/11/26",취업축하금
주식회사 아이티엘,Node 서버 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49210760&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 서초구,경력1년↑,학력무관,정규직,채용시,"Python, AWS, 백엔드/서버개발, Docker, MySQL 외                    수정일 24/11/21",연봉상승률 10% 이상
티에이케이정보시스템㈜,2024년 티에이케이정보시스템 수시채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49265867&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 강서구,경력1년↑,초대졸↑,정규직,채용시,"Python, C++, Java, 기술지원, 백엔드/서버개발 외                    수정일 24/10/29",
쿠팡풀필먼트서비스(유),[쿠팡CFS] React Native App 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49305158&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 송파구,경력,학력무관,정규직,~ 11/30(토),"Python, 웹개발, 앱개발, React, React-Native 외                    수정일 24/11/01",급성장중
쿠팡풀필먼트서비스(유),"[쿠팡CFS] 물류 자동화 로봇(AGV,AMR) S/W 엔지니어",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49305025&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,대구 달성군,경력3년↑,학력무관,정규직,~ 11/30(토),"Python, C++, Java, S/W, Javascript 외                    수정일 24/11/01",급성장중
(주)이너버스,통합보안관리 솔루션 기술 엔지니어(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49341357&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울전체,신입·경력,초대졸↑,정규직,~ 12/08(일),"Python, Java, 딥러닝, Linux, 솔루션 외                    등록일 24/11/05",취업축하금
주식회사 빅밸류,[빅밸류] Data Scientist(공통) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49417709&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,서울 중구,경력무관,학력무관,정규직,~ 12/18(수),"Python, 알고리즘, 데이터분석가, 데이터엔지니어, 데이터마이닝 외                    등록일 24/11/18",시리즈A 투자유치
(주)데이터다이나믹스,정규 Java 개발자 (경력직/신입) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433707&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경기 용인시 수지구,신입·경력,학력무관,정규직,~ 12/19(목),"Python, Java, Linux, AWS, 빅데이터 외                    등록일 24/11/19",인기있는
(주)윈텍오토메이션,비전S/W개발 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49241757&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c026511-2db1-432f-be2c-e1cbc62de17a,경기 수원시 영통구,신입·경력,대졸↑,정규직·전문연구요원,~ 12/20(금),"Python, C++, Java, 딥러닝, 머신러닝 외                    등록일 24/10/21",IT개발·데이터 스크랩 급상승
